Feature ID	Taxon	Consensus
03276070f119af608acaf6dd683ff1b8	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales;Chlorellales_X	0.625
0327e2f59f85aff123d4d85b3da33da6	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae	0.625
03294280f9bca4226600fbf7563b1a82	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida	0.556
032eddf631482412923a311404a50aa5	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.6
033db1796d4101fe7e8d6f96c40b81bc	Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;	1.0
035445b7cf05c9bcf3a4d1be6893dc83	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae	0.714
036fdb2f919106a4724fb63f7c250e78	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.6
039126ff199b438f65f254a0d346044b	Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_5;Pleurostomatida	0.714
0395fefda1dfbec2c3ee3b59b5001ddf	Eukaryota;Excavata;Discoba;Euglenozoa;Kinetoplastea;Neobodonida;Rhynchomonadidae;Rhynchomonas;Rhynchomonas_sp.;	0.833
0397af8c72346657314df4ae0d23d7d6	Eukaryota;TSAR;Stramenopiles;Gyrista;MOCH-5;MOCH-5_X;MOCH-5_XX;MOCH-5_XXX;MOCH-5_XXX_sp.;	0.571
03a312212d4f3aa15b04fa7f1318323b	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Ochromonadales	0.625
03d9a3247e8b5834e8d034029fff0449	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;	0.556
03f5b444e138fdfd5f7a29a220992b9c	Eukaryota:plas	0.6
04061f23198098194a883255d4dbd012	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia	0.714
041baeccfef1b788b5cac8d0046c5d9a	Eukaryota;TSAR	0.571
041c6f0b4789f3c20022fd5ebda250c2	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-8;Dino-Group-II-Clade-8_X;Dino-Group-II-Clade-8_X_sp.;	0.714
042394b500259a72880bbd328bab22c5	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Hexapoda;Insecta	0.556
0435a9bef7aad9b945877bb3f6e0cb87	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.6
0450513499b0aa8d114d784a754ed25d	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae	0.625
045eb5a4b5e87314ba520d896ae200f9	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.6
048df55819089d4baa75842e3cac1699	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_Clade-EC2H;Chrysophyceae_Clade-EC2H_X;Chrysophyceae_Clade-EC2H_XX;Chrysophyceae_Clade-EC2H_XX_sp.;	0.833
04f13d0504079688a6457421fcb36206	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.714
05016f3c09d91dcb331f93036dd06cc1	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis_acuminata;	0.6
05144b8bcc94e1c76a77cfb342d906c1	Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Haliphthorales	1.0
051f1ec535b2736e2eaac64a03d382d2	Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota	0.667
0534dbe09496b40ee5c900184a3813c5	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_Clade-EC2I;Chrysophyceae_Clade-EC2I_X;Chrysophyceae_Clade-EC2I_XX;Chrysophyceae_Clade-EC2I_XX_sp.;	0.714
0535a84788573034f1f5d725325d599f	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda	0.6
0570819f774154c14b0c5563c3a77703	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.75
057099904daff0285fadb4723714e1e2	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus	0.625
0577f882679b336e97e11f53131be0cc	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-14;Dino-Group-II-Clade-14_X;Dino-Group-II-Clade-14_X_sp.;	0.8
057fed8ab3dd023665b245c43e7bc80d	Eukaryota;TSAR;Alveolata	0.714
0582047300104f2e448ffb3e320ab4a5	Eukaryota;Archaeplastida;Rhodophyta;Rhodophyta_X	0.625
0586edc72b15d2b29101c573f1a9be86	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-22;Dino-Group-II-Clade-22_X;Dino-Group-II-Clade-22_X_sp.;	0.625
05a7c793559246ea359db1b9b50717f5	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Porosporidae;Porosporidae_X;Porosporidae_X_sp.;	0.8
05a85709c40185b23da71cac0b16433e	Eukaryota;TSAR;Alveolata	0.75
05ba0b727765f13d9709e38011a0afba	Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X	0.714
05c1c990a815d81966f970d3dd13496e	Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Ephelotidae;Ephelota;Ephelota_sp.;	0.8
05d0f6ab366e52ab5c09d438c0c80b2a	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea_X_GRE1;Gregarinomorphea_X_GRE1_X;Gregarinomorphea_X_GRE1_XX;Gregarinomorphea_X_GRE1_XX_sp.;	0.714
05d84d9c47ad5df27e72f53af92d0eda	Eukaryota;Obazoa;Opisthokonta	1.0
05f5e59bd039aa27f9cdffc6ef00d5fa	Eukaryota	1.0
06128be798588a08b649536ac582201c	Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Proteomonas	0.625
061f0d6ceac2c1abc1f27f426a1e6a47	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.75
06218ce0d9d088aa3e140d80f385f813	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II	0.714
0634c6de96bef5537b30c35dbcad105e	Eukaryota	1.0
063a95a5d6778f6a5296c206bf57958c	Eukaryota;TSAR;Alveolata	0.714
066c9e6b3b545cfa429f10dfd73b7c75	Eukaryota	1.0
0676f6beec4915be293b474e53e03016	Unassigned	1.0
0677729d5d0e2f88a0958acf702adbab	Eukaryota;TSAR	0.571
070807d7f017b15298886745d08dee54	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.667
0713ab1048d9b117e079b3078999075a	Eukaryota;Obazoa;Opisthokonta	0.556
073a4c9c2f6e484f2b824ab4b9d97826	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista	0.571
079734f8e83d2107773ac7b2ef9d4bb5	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X;Novel-clade-2_X_sp.;	0.625
07b2f761944886e51ce7dcc8d9cda84c	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Paralecudinids;Paralecudina	0.714
07bcfc515f47f6259ac49fb46025f406	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida	0.833
07f5d2ee6f422a2c612c69ccb007a77a	Eukaryota;Obazoa	0.571
08367f4016891de69d682212c31a3406	Eukaryota;TSAR;Stramenopiles;Gyrista	0.625
084356fb405c4ef5239ca05b2664324e	Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX	0.625
08580355432b46f39a1042f0e76a7911	Eukaryota;TSAR;Stramenopiles;Gyrista	0.625
08659d3e6a0449bebc70d3435ba6db8a	Eukaryota	1.0
086e73555ac78c957581f30180a8a630	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.625
